problem_method, vanillaEI,localKN,localKNcompared tovanillaEI,vanillaKB,localKN,localKNcompared tovanillaKB,
smd1(),2.293300,1.007500,1,1.895100,1.007500,1,
smd2(),1.149700,1.029800,1,1.000000,1.029800,-1,
smd3(),5.009500,1.907900,1,3.390300,1.907900,1,
smd4(),1.767000,1.080600,1,1.301200,1.080600,0,
smd5(),1.000200,1.001200,-1,1.000000,1.001200,-1,
smd6(),1.000000,1.000000,0,1.000000,1.000000,0,
smd7(),1.149700,1.029800,1,1.000000,1.029800,-1,
smd8(),1.025200,1.328300,-1,1.000200,1.328300,-1,
smd9(),1.066300,1.047600,1,1.003000,1.047600,-1,
smd10(),3.406500,3.909500,0,3.064400,3.909500,0,
smd11(),2.016000,2.008100,0,2.000000,2.008100,-1,
smd12(),4.392300,4.525900,0,4.001600,4.525900,-1,
