problem_method, localBH_lower ,lower_num ,localKN_lower ,lower_num ,vanillaEI_lower ,lower_num ,vanillaKB_lower ,lower_num ,
SMD1,1.007500,100,1.090900,100,2.293300,100,1.895100,100,
SMD2,1.029800,100,1.028700,100,1.149700,100,1.000000,100,
SMD3,1.907900,100,2.468500,100,5.009500,100,3.390300,100,
SMD4,1.080600,100,1.064500,100,1.767000,100,1.301200,100,
SMD5,1.001200,100,1.000900,100,1.000200,100,1.000000,100,
SMD6,1.000000,100,1.000000,100,1.000000,100,1.000000,100,
SMD7,1.029800,100,1.028700,100,1.149700,100,1.000000,100,
SMD8,1.328300,100,1.621500,100,1.025200,100,1.000200,100,
SMD9,1.047600,100,1.004300,100,1.066300,100,1.003000,100,
SMD10,3.909500,100,3.401200,100,3.406500,100,3.064400,100,
SMD11,2.008100,100,2.000600,100,2.016000,100,2.000000,100,
SMD12,4.525900,100,4.001100,100,4.392300,100,4.001600,100,
