problem_method, localBH_lower ,feasibility ,localKN_lower ,feasibility ,vanillaEI_lower ,feasibility ,vanillaKB_lower ,feasibility ,
SMD1,1.000000,1,1.000000,1,1.525300,1,1.357200,1,
SMD2,1.026200,1,1.020800,1,1.121300,1,1.000000,1,
SMD3,1.421500,1,1.951400,1,3.320300,1,3.011400,1,
SMD4,1.067100,1,1.026200,1,1.299600,1,1.000100,1,
SMD5,1.000000,1,1.000000,1,1.000000,1,1.000000,1,
SMD6,1.000000,1,1.000000,1,1.000000,1,1.000000,1,
SMD7,1.026200,1,1.020800,1,1.121300,1,1.000000,1,
SMD8,1.000000,1,1.000000,1,1.000000,1,1.000000,1,
SMD9,1.009400,1,1.003800,1,1.066300,1,1.002900,1,
SMD10,3.231400,1,3.000000,1,3.324000,1,3.064400,1,
SMD11,2.000400,1,2.000000,1,2.000500,1,2.000000,1,
SMD12,4.324800,1,4.000000,1,4.152200,1,4.001000,1,
